[NOTUS TEXTFILE V3.1]
File Created: 02-Aug-2019 13:47:12
Tow Date: 02-Aug-2019 8:01:03


Transponder: C24S
Placement: Starboard

Code,Time,Range(m),Data(m),Latitude,Longitude,Echo Sounder(m),Comment
C24S,08:01:10,---,---,---,---,---,
C24S,08:01:54,---,---,---,---,---,
C24S,08:02:38,---,---,---,---,---,
C24S,08:03:22,---,---,---,---,---,
C24S,08:04:06,---,---,---,---,---,
C24S,08:04:50,---,---,---,---,---,
C24S,08:05:34,---,---,---,---,---,
C24S,08:06:18,---,---,---,---,---,
C24S,08:07:02,---,---,---,---,---,
C24S,08:07:46,---,---,---,---,---,
C24S,08:08:31,---,---,---,---,---,
C24S,08:09:15,---,---,---,---,---,
C24S,08:09:59,---,---,---,---,---,
C24S,08:10:43,---,---,---,---,---,
C24S,08:11:27,---,---,---,---,---,
C24S,08:12:11,---,---,---,---,---,
C24S,08:12:55,---,---,---,---,---,
C24S,08:13:39,---,---,---,---,---,
C24S,08:14:23,---,---,---,---,---,
C24S,08:15:07,---,---,---,---,---,
C24S,08:15:51,---,---,---,---,---,
C24S,08:16:35,---,---,---,---,---,
C24S,08:17:19,---,---,---,---,---,
C24S,08:18:03,---,---,---,---,---,
C24S,08:18:48,---,---,---,---,---,
C24S,08:19:32,---,---,---,---,---,
C24S,08:20:16,---,---,---,---,---,
C24S,08:21:00,---,---,---,---,---,
C24S,08:21:44,---,---,---,---,---,
C24S,08:22:28,---,---,---,---,---,
C24S,08:23:12,---,---,---,---,---,
C24S,08:23:56,---,---,---,---,---,
C24S,08:24:40,---,---,---,---,---,
C24S,08:25:24,---,---,---,---,---,
C24S,08:26:08,---,---,---,---,---,
C24S,08:26:52,---,---,---,---,---,
C24S,08:27:36,---,---,---,---,---,
C24S,08:28:20,---,---,---,---,---,
C24S,08:29:05,---,---,---,---,---,
C24S,08:29:49,---,---,---,---,---,
C24S,08:30:33,---,---,---,---,---,
C24S,08:31:17,---,---,---,---,---,
C24S,08:32:01,---,---,---,---,---,
C24S,08:32:45,---,---,---,---,---,
C24S,08:33:29,---,---,---,---,---,
C24S,08:34:13,---,---,---,---,---,
C24S,08:34:57,---,---,---,---,---,
C24S,08:35:41,---,---,---,---,---,
C24S,08:36:25,---,---,---,---,---,
C24S,08:37:09,---,---,---,---,---,
C24S,08:37:53,---,---,---,---,---,
C24S,08:38:37,---,---,---,---,---,
C24S,08:39:22,---,---,---,---,---,
C24S,08:40:06,---,---,---,---,---,
C24S,08:40:50,---,---,---,---,---,
C24S,08:41:34,---,---,---,---,---,
C24S,08:42:18,---,---,---,---,---,
C24S,08:43:02,---,---,---,---,---,
C24S,08:43:46,---,---,---,---,---,
C24S,08:44:30,---,---,---,---,---,
C24S,08:45:14,---,---,---,---,---,
C24S,08:45:58,---,---,---,---,---,
C24S,08:46:42,---,---,---,---,---,
C24S,08:47:26,---,---,---,---,---,
C24S,08:48:10,---,---,---,---,---,
C24S,08:48:55,---,---,---,---,---,
C24S,08:49:39,---,---,---,---,---,
C24S,08:50:23,---,---,---,---,---,
C24S,08:51:07,---,---,---,---,---,
C24S,08:51:51,---,---,---,---,---,
C24S,08:52:35,---,---,---,---,---,
C24S,08:53:19,---,---,---,---,---,
C24S,08:54:03,---,---,---,---,---,
C24S,08:54:47,---,---,---,---,---,
C24S,08:55:31,---,---,---,---,---,
C24S,08:56:15,---,---,---,---,---,
C24S,08:56:59,---,---,---,---,---,
C24S,08:57:43,---,---,---,---,---,
C24S,08:58:27,---,---,---,---,---,
C24S,08:59:12,---,---,---,---,---,
C24S,08:59:56,---,---,---,---,---,
C24S,09:00:40,---,---,---,---,---,
C24S,09:01:24,---,---,---,---,---,
C24S,09:02:08,---,---,---,---,---,
C24S,09:02:52,---,---,---,---,---,
C24S,09:03:36,---,---,---,---,---,
C24S,09:04:20,---,---,---,---,---,
C24S,09:05:04,---,---,---,---,---,
C24S,09:05:48,---,---,---,---,---,
C24S,09:06:32,---,---,---,---,---,
C24S,09:07:16,---,---,---,---,---,
C24S,09:08:00,---,---,---,---,---,
C24S,09:08:44,---,---,---,---,---,
C24S,09:09:29,---,---,---,---,---,
C24S,09:10:13,---,---,---,---,---,
C24S,09:10:57,---,---,---,---,---,
C24S,09:11:41,---,---,---,---,---,
C24S,09:12:25,---,---,---,---,---,
